run,seed,status,screenshotIndex,screenshotFile,size,river,shore,walls,retries,rejectDistinct,rejectDistance,rejectSide,timeout,cityGenerationMs,navMeshGenerationMs,pathfindingUntilFoundMs,pathfindingMsByRetry,startX,startY,startWardType,startArea,goalX,goalY,goalWardType,goalArea,straightLineDistance,selectedRouteIndexes,route1Length,route2Length,route3Length,route4Length,route1Side,route2Side,route3Side,route4Side,route1SideLabel,route2SideLabel,route3SideLabel,route4SideLabel,candidateRouteLengths,reason,failedAttempts
244,2073547704,ok,244,route-stress-0244.png,37,true,true,false,1,0,0,1,0,229,9,302,199|102,-8.405178,33.595447,generic,inner,-53.407861,-72.073493,generic,inner,114.853,2|3,,148.463,150.93,,11.51463,14.682002,-0.734918,22.001104,R,R,L,R,139.017|148.463|150.93|165.848,ok,"-18.174247,29.403348>49.074253,6.637281:side"
245,155324970,ok,245,route-stress-0245.png,34,true,false,true,8,0,0,8,2,430,44,1210,71|405|22|137|96|36|14|407|7,-60.946725,33.440392,generic,inner,-101.152519,16.275306,outerHighrise,outsideWall,43.717,1|2,59.238,65.583,,,-1.702968,10.273543,5.551279,16.24814,L,R,R,R,59.238|65.583|74.582|95.057,ok,"23.022687,31.683321>61.929491,41.867075:side;1.251280,-5.452082>69.557190,59.627089:side:timeout;25.643666,-23.581367>-25.910179,25.574063:side;-86.056020,51.050296>-55.123358,15.208367:side;-20.967943,39.549959>-96.043377,22.526848:side;55.948659,15.471411>-19.051044,96.842643:side;-54.584593,44.992804>24.829855,44.126170:side;-69.035021,36.467524>21.152462,91.496001:side:timeout"
246,1359931742,ok,246,route-stress-0246.png,33,true,false,false,1,0,0,1,0,427,20,524,139|381,-33.258012,-53.086783,generic,inner,35.762535,-38.10047,generic,inner,70.629,1|2,92.555,98.321,,,1.373161,-8.805944,24.541726,,R,L,R,,92.555|98.321|179.166,ok,"28.021632,63.023519>34.622425,-5.351212:side"
247,1444847281,ok,247,route-stress-0247.png,35,true,true,true,0,0,0,0,0,304,20,121,116,108.779197,9.1192,gate,inner,118.23867,77.417632,outerHighrise,outsideWall,68.95,3|4,,,146.304,149.397,-3.078667,-13.035669,5.109754,-9.557988,L,L,R,L,79.302|133.004|146.304|149.397,ok,
248,241411915,ok,248,route-stress-0248.png,29,false,false,true,0,0,0,0,0,335,18,106,105,-33.967053,-36.788281,generic,inner,-63.916884,16.344468,gate,inner,60.992,3|4,,,118.228,122.511,-5.508835,10.700676,8.784809,-10.357174,L,R,R,L,84.421|109.562|118.228|122.511,ok,
249,640147340,ok,249,route-stress-0249.png,38,false,true,true,0,0,0,0,0,466,13,132,132,-44.863823,14.069248,generic,inner,-29.579053,-73.954164,gate,inner,89.341,3|4,,,130.132,131.753,5.118729,7.953109,-6.321717,5.906914,R,R,L,R,115.504|119.035|130.132|131.753,ok,
250,763531053,ok,250,route-stress-0250.png,37,true,false,true,0,0,0,0,0,412,23,206,205,98.646948,44.151696,outerHighrise,outsideWall,-3.796165,61.862336,generic,inner,103.963,2|3,,134.755,136.696,,6.212096,-5.942613,7.19359,-11.828272,R,L,R,L,130.081|134.755|136.696|140.891,ok,
251,1408727719,ok,251,route-stress-0251.png,26,true,false,true,16,0,0,16,0,375,8,791,59|88|62|117|14|46|44|2|63|13|6|9|17|198|13|15|9,-26.552938,47.687285,gate,inner,-4.873394,-15.236116,cathedral,inner,66.553,2|3,,89.442,93.691,,1.054634,-4.593002,5.876458,21.325396,R,L,R,R,78.953|89.442|93.691|128.21,ok,"51.764248,-28.627538>2.849622,43.693385:side;49.362620,-41.460503>-14.678746,44.544408:side;-3.001568,-16.083895>44.281985,-39.355788:side;-77.700127,34.656317>-40.627860,-24.269760:side;1.235020,-15.561085>-80.064365,33.476751:side;40.085375,61.232239>-5.036356,1.351142:side;56.799742,33.172228>11.037186,-27.789803:side;-3.532247,70.733368>-57.026441,61.907631:side;19.379656,-29.746939>-25.075165,40.498580:side;12.246875,-62.254939>57.356192,-28.333240:side;44.344806,-43.761533>7.666538,29.665474:side;39.957652,-4.960168>-49.031739,4.442752:side;25.826404,-28.283216>20.524484,68.344246:side;-55.486907,-22.879527>-3.851265,70.701526:side;7.026678,-27.480090>-48.337556,72.833873:side;6.308108,1.482846>52.521897,-28.761161:side"
252,106690563,ok,252,route-stress-0252.png,38,true,true,false,1,0,0,1,0,390,11,199,82|113,103.734632,-71.058353,generic,inner,7.193374,-95.519224,generic,inner,99.592,3|4,,,133.279,135.831,-7.314159,-6.941858,1.340518,-13.880728,L,L,R,L,122.641|129.895|133.279|135.831,ok,"43.434291,89.336738>56.065797,44.723724:side"
253,792965533,ok,253,route-stress-0253.png,25,false,false,false,2,0,0,2,0,284,4,164,33|79|51,41.878449,30.942026,generic,inner,-16.430072,52.012681,generic,inner,61.999,2|3,,80.584,84.631,,3.122222,5.567355,-6.791429,10.238094,R,R,L,R,73.687|80.584|84.631|96.141,ok,"-1.696635,-49.139400>-27.987334,-17.679398:side;-22.086449,-59.882902>-12.663334,39.490313:side"
