mask,pair,retries,dist,relGap,sideGap,len1,len2,rt1,rt2,msSample,msSnap,msRoute,msRefine,msTotal
mask_20250602_081036,0,2,628,0.221,354.5,1179.2,1472.1,32175,39275,1.44,19.58,132.49,71.41,1429.16
mask_20250602_081036,1,1,651,0.384,196.2,866.9,785.2,28722,20745,0.63,3.26,60.71,15.41,544.23
