mask,pair,retries,dist,relGap,sideGap,len1,len2,rt1,rt2,msSample,msSnap,msRoute,msRefine,msTotal
mask_20250602_081036,0,0,748,0.051,157.2,865.2,979,28293,26924,0.87,17.34,28.15,22.91,343.93
mask_20250602_081036,1,3,696,0.149,86.5,918.2,1151.7,31277,35945,0.45,5.57,66.98,36.15,552.17
mask_20250602_081036,2,4,581,0.053,44.8,814.7,702.6,21429,22573,0.15,0.36,10.76,3.86,141.29
mask_20250602_081036,3,4,650,0.118,49.3,772.7,683.5,19394,17348,0.14,14.97,27.95,14.6,383.25
mask_20250602_081036,4,0,583,0.099,106.2,887.7,659.7,23204,21112,0.03,0.09,4.17,14.43,111.82
